Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
201,00:00:08.383,2.341463414634146,2.1842818428184283,1.627371273712737,3.2127371273712737
202,00:00:08.425,2.726287262872629,2.682926829268293,1.7018970189701896,3.794037940379404
203,00:00:08.467,1.5528455284552845,2.3184281842818426,1.443089430894309,0.8970189701897019
204,00:00:08.508,2.401535682023487,2.8848238482384825,1.565040650406504,2.754742547425474
205,00:00:08.550,2.6946702800361337,2.5636856368563685,1.5474254742547426,3.97289972899729
206,00:00:08.592,2.7082204155374883,2.5826558265582658,1.6734417344173442,3.868563685636856
207,00:00:08.634,1.650858175248419,1.2750677506775068,1.448509485094851,2.2289972899728996
208,00:00:08.675,2.7312556458897923,2.182926829268293,1.478319783197832,4.532520325203252
209,00:00:08.717,2.0031616982836495,2.051490514905149,1.3211382113821137,2.6368563685636857
210,00:00:08.759,2.332429990966576,2.285907859078591,1.4688346883468835,3.2425474254742546
211,00:00:08.800,1.4530261969286358,1.2533875338753389,1.1382113821138211,1.967479674796748
212,00:00:08.842,1.9417344173441735,1.8943089430894309,1.0962059620596205,2.834688346883469
213,00:00:08.884,0.9769647696476964,0.924119241192412,0.8563685636856369,1.1504065040650406
214,00:00:08.926,1.58130081300813,1.5121951219512195,0.9336043360433605,2.2981029810298104
215,00:00:08.967,2.1196928635953025,1.7276422764227641,1.2506775067750677,3.3807588075880757
216,00:00:09.009,2.214092140921409,1.532520325203252,2.200542005420054,2.9092140921409215
217,00:00:09.051,3.5063233965672986,2.4715447154471546,2.875338753387534,5.172086720867209
218,00:00:09.092,3.2258355916892505,2.6192411924119243,2.669376693766938,4.388888888888889
219,00:00:09.134,4.848238482384824,4.02710027100271,2.796747967479675,7.720867208672087
220,00:00:09.176,2.785907859078591,2.2425474254742546,2.548780487804878,3.5663956639566394
221,00:00:09.218,2.6689250225835592,2.3794037940379402,2.5813008130081303,3.046070460704607
222,00:00:09.259,1.7005420054200542,1.0799457994579946,2.073170731707317,1.948509485094851
223,00:00:09.301,1.7637759710930443,0.9512195121951219,2.3848238482384825,1.9552845528455285
224,00:00:09.343,1.7556458897922311,1.016260162601626,1.9119241192411924,2.3387533875338753
225,00:00:09.384,3.520776874435411,2.7425474254742546,2.13550135501355,5.684281842818428
226,00:00:09.426,1.8450767841011746,1.2154471544715446,1.8753387533875339,2.4444444444444446
227,00:00:09.468,4.387985546522132,3.627371273712737,2.1327913279132793,7.403794037940379
228,00:00:09.509,2.1386630532971997,1.6504065040650406,1.7452574525745257,3.0203252032520327
229,00:00:09.551,2.5347786811201445,1.5149051490514904,1.9552845528455285,4.134146341463414
230,00:00:09.593,3.3184281842818426,2.640921409214092,1.7127371273712737,5.6016260162601625
231,00:00:09.635,6.556007226738934,5.069105691056911,3.307588075880759,11.291327913279133
232,00:00:09.676,8.549683830171636,6.719512195121951,1.8523035230352303,17.077235772357724
233,00:00:09.718,18.956639566395662,14.482384823848239,2.9430894308943087,39.44444444444444
234,00:00:09.760,13.344173441734418,11.302168021680217,3.0447154471544717,25.685636856368564
235,00:00:09.801,11.340560072267388,8.567750677506774,3.8021680216802167,21.651761517615178
236,00:00:09.843,9.913730803974707,7.943089430894309,3.668021680216802,18.130081300813007
237,00:00:09.885,9.807588075880759,7.1924119241192415,4.151761517615176,18.07859078590786
238,00:00:09.927,8.584462511291779,6.888888888888889,4.132791327913279,14.731707317073171
239,00:00:09.968,7.966576332429991,7.280487804878049,4.868563685636857,11.750677506775068
240,00:00:10.010,6.833333333333333,5.594850948509485,4.685636856368563,10.21951219512195
241,00:00:10.052,6.626467931345981,6.5013550135501355,4.888888888888889,8.489159891598916
242,00:00:10.093,5.8495934959349585,4.368563685636857,4.737127371273712,8.44308943089431
243,00:00:10.135,6.582204155374886,5.482384823848238,5.493224932249323,8.7710027100271
244,00:00:10.177,5.711382113821138,3.8631436314363143,5.383468834688347,7.887533875338754
245,00:00:10.219,5.364950316169828,3.731707317073171,5.304878048780488,7.058265582655826
246,00:00:10.260,5.2136404697380305,3.758807588075881,5.399728997289973,6.482384823848238
247,00:00:10.302,6.121951219512195,4.986449864498645,5.85230352303523,7.52710027100271
248,00:00:10.344,5.911924119241193,6.6409214092140925,5.264227642276423,5.830623306233062
249,00:00:10.385,5.632339656729901,5.769647696476965,5.619241192411924,5.508130081300813
250,00:00:10.427,5.800813008130081,5.884823848238482,5.497289972899729,6.020325203252033
251,00:00:10.469,5.772809394760614,6.326558265582656,5.573170731707317,5.41869918699187
252,00:00:10.510,5.769196025293586,6.722222222222222,5.139566395663957,5.44579945799458
253,00:00:10.552,5.411472448057815,5.840108401084011,5.166666666666667,5.227642276422764
254,00:00:10.594,5.205058717253839,5.9105691056910565,4.872628726287263,4.831978319783198
255,00:00:10.636,4.764679313459801,4.388888888888889,5.226287262872629,4.678861788617886
256,00:00:10.677,5.08130081300813,5.901084010840108,4.350948509485095,4.991869918699187
257,00:00:10.719,4.52710027100271,4.4986449864498645,4.586720867208672,4.495934959349594
258,00:00:10.761,4.179313459801265,3.8983739837398375,4.291327913279133,4.348238482384824
259,00:00:10.802,4.195121951219512,4.1409214092140925,4.373983739837398,4.070460704607046
260,00:00:10.844,3.613821138211382,3.265582655826558,3.6612466124661247,3.9146341463414633
261,00:00:10.886,3.794037940379404,4.468834688346884,3.0934959349593494,3.8197831978319785
262,00:00:10.928,3.474254742547425,3.6802168021680215,3.0203252032520327,3.7222222222222223
263,00:00:10.969,4.4891598915989155,5.252032520325203,3.9417344173441733,4.273712737127371
264,00:00:11.011,4.089882565492322,4.899728997289973,3.399728997289973,3.970189701897019
265,00:00:11.053,4.46386630532972,6.2289972899729,3.2913279132791327,3.8712737127371275
266,00:00:11.094,3.0356820234869013,3.192411924119241,2.5745257452574526,3.3401084010840107
267,00:00:11.136,3.20776874435411,3.448509485094851,2.7235772357723578,3.451219512195122
268,00:00:11.178,3.9728997289972896,4.753387533875339,3.356368563685637,3.8089430894308944
269,00:00:11.220,3.7199638663053296,4.836043360433604,2.8631436314363143,3.4607046070460705
270,00:00:11.261,3.766034327009937,4.97289972899729,3.1802168021680215,3.144986449864499
271,00:00:11.303,3.9421860885275515,4.4620596205962055,3.475609756097561,3.888888888888889
272,00:00:11.345,3.582204155374887,4.0,3.1422764227642275,3.6043360433604335
273,00:00:11.386,3.486901535682023,3.9173441734417342,3.0934959349593494,3.4498644986449865
274,00:00:11.428,3.723577235772358,3.5799457994579944,3.731707317073171,3.859078590785908
275,00:00:11.470,3.638211382113821,3.5636856368563685,3.548780487804878,3.8021680216802167
276,00:00:11.511,3.4688346883468832,4.14769647696477,3.2601626016260163,2.9986449864498645
277,00:00:11.553,3.4182475158084915,3.1612466124661247,3.2262872628726287,3.8672086720867207
278,00:00:11.595,3.247515808491418,3.292682926829268,3.289972899728997,3.1598915989159893
279,00:00:11.637,3.015356820234869,3.1205962059620598,2.9119241192411924,3.013550135501355
280,00:00:11.678,3.7642276422764227,3.9715447154471546,3.4010840108401084,3.9200542005420056
281,00:00:11.720,4.493676603432701,5.181571815718157,3.8577235772357725,4.441734417344174
282,00:00:11.762,3.422764227642277,3.0989159891598916,3.097560975609756,4.071815718157182
283,00:00:11.803,3.462059620596206,3.978319783197832,2.7127371273712737,3.6951219512195124
284,00:00:11.845,3.8179765130984644,4.218157181571816,3.5948509485094853,3.640921409214092
285,00:00:11.887,3.6996386630532974,4.4105691056910565,2.94579945799458,3.7425474254742546
286,00:00:11.929,4.2831978319783195,5.284552845528455,3.4200542005420056,4.144986449864499
287,00:00:11.970,4.094850948509485,5.250677506775068,3.227642276422764,3.806233062330623
288,00:00:12.012,4.416440831074978,6.299457994579946,3.2804878048780486,3.669376693766938
289,00:00:12.054,4.114724480578139,5.136856368563685,3.4715447154471546,3.7357723577235773
